icd_value,diagnosisname,count,sepsis_category,icd_type,icd_l1_name,icd_l2_name,icd_l3_name
K35.3,Acute appendicitis with localized peritonitis,218,infection_abdominal,ICD-10-CM,Diseases of the digestive system (K00-K95),Diseases of appendix (K35-K38),Acute appendicitis
D68.8,Other specified coagulation defects,218,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),"Coagulation defects, purpura and other hemorrhagic conditions (D65-D69)",Other coagulation defects
M79.3,"Panniculitis, unspecified",218,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Other soft tissue disorders (M70-M79),"Other and unspecified soft tissue disorders, not elsewhere classified"
T45.1X1A,Poisoning by antineoplastic and immunosuppressive drugs(963.1),218,,ICD-10-CM,"Injury, poisoning and certain other consequences of external causes (S00-T88)","Poisoning by, adverse effects of and underdosing of drugs, medicaments and biological substances (T36-T50)","Poisoning by, adverse effect of and underdosing of primarily systemic and hematological agents, not elsewhere classified"
Z91.030,Bee allergy status,218,,ICD-10-CM,Factors influencing health status and contact with health services (Z00-Z99),Persons with potential health hazards related to family and personal history and certain conditions influencing health status (Z77-Z99),"Personal risk factors, not elsewhere classified"
F43.12,"Post-traumatic stress disorder, chronic",218,,ICD-10-CM,"Mental, Behavioral and Neurodevelopmental disorders (F01-F99)","Anxiety, dissociative, stress-related, somatoform and other nonpsychotic mental disorders (F40-F48)","Reaction to severe stress, and adjustment disorders"
I82.619,Acute venous embolism and thrombosis of superficial veins of upper extremity,218,,ICD-10-CM,Diseases of the circulatory system (I00-I99),"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified (I80-I89)",Other venous embolism and thrombosis
D83.9,"Common variable immunodeficiency, unspecified (CMS code)",217,,ICD-10-CM,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D50-D89),Certain disorders involving the immune mechanism (D80-D89),Common variable immunodeficiency
M47.26,"Other spondylosis with radiculopathy, lumbar region",217,,ICD-10-CM,Diseases of the musculoskeletal system and connective tissue (M00-M99),Spondylopathies (M45-M49),Spondylosis
I25.84,Coronary atherosclerosis due to calcified coronary lesion,217,,ICD-10-CM,Diseases of the circulatory system (I00-I99),Ischemic heart diseases (I20-I25),Chronic ischemic heart disease
K14.0,Glossitis,217,,ICD-10-CM,Diseases of the digestive system (K00-K95),Diseases of oral cavity and salivary glands (K00-K14),Diseases of tongue
