departmentname,count,departmentspecialty,is_icu
BMT SVC,43,Hematology and Oncology,False
PAIN MEDICINE SVC,43,Pain Medicine,False
SURG PED GI/HEPATOLOGY SVC-BIL,42,Pediatric Gastroenterology,False
PK ENDOCRINOLOGY SVC,41,Endocrinology,False
UROLOGY PARN,41,Urology,False
C4 PICU MB,41,Inpatient Nursing,True
PK VASCULAR SURGERY SVC,40,Vascular Surgery,False
SURG OPHTH GLAUCOMA AMB-BIL,39,*Unspecified,False
SURG ORTHO SPORTS MB-BIL,39,*Unspecified,False
PAIN MEDICINE MZ,38,Pain Medicine,False
PEDIATRIC BMT SVC,38,Pediatric Bone Marrow Transplant,False
ZZZSURG OB/GYN GYN-ONC MZ-BIL,37,*Unspecified,False
EEG PARN,37,Neurodiagnostics,False
ZZZPED EMERGENCY DEPT OLD,35,*Unspecified,False
PK SURG DOS KIDNEY TRANSPLANT PARN-BIL,35,Kidney Transplantation,False
NEUROENDOCRINOLOGY SVC,33,Neurosurgery,False
PK DERMATOLOGY SVC,32,Dermatology,False
OPHTH PATH PARN,32,Ophthalmology,False
PULMONARY PARN,32,Pulmonology,False
PED IMMUNOLOGY SVC,32,Pediatric Immunology,False
PK GLUCOSE MGMT SVC,31,*Unspecified,False
PERIOP ENDO PARN,31,*Unspecified,False
SURG DOS GEN SURG PEDI PARN-BIL,31,*Unspecified,False
PK PALLIATIVE CARE SVC,31,Palliative Medicine,False
PK ANES ACUTE PAIN PARN-BIL,30,Anesthesiology,False
PEDIATRIC SURGERY SVC,30,Pediatric Surgery,False
PK RAD ULTRASOUND PARN,28,Radiology,False
ZZZSURGICAL ONCOLOGY SVC,27,Surgical Oncology,False
ZZZSURG DOS HEPATOBILIARY MZ-BIL,27,*Unspecified,False
ZZZPK KTU TRNSPLT NPH SVC,27,Kidney Transplantation,False
SURG OB/GYN FERTILITY-BIL,27,Reproductive Endocrinology and Infertility,False
URO SURG ONC MB 4,27,Urologic Oncology,False
PK NON-MALIGNANT HEM SVC,26,Hematology,False
PK LAB SOM MOLEC CB-BIL,25,*Unspecified,False
RAD ULTRASOUND PARN MB1,24,Radiology,False
PK SURG DOM HEPATOLOGY,24,*Unspecified,False
PK RAD IR PARN,24,Interventional Radiology,False
GEN SURGERY MB SVC-BIL,23,*Unspecified,False
PK CARDIAC CATH SVC,23,Cardiology,False
SURG DOS CARDTHOR PEDI PARN-BIL,23,*Unspecified,False
OHNS HOSPITALIST,23,"Otolaryngology, Head and Neck Surgery",False
SURG ORTHO SPINE MB-BIL,21,*Unspecified,False
PK LAB SOM IMMUNOLOGY – BIL,21,*Unspecified,False
PK GENERAL SURGERY SVC,21,General Surgery,False
